,,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA
,,of ratio,pressure,temperature,density,specific volume,enthalpy,internal energy,gibbs,entropy,molar mass,c_p,c_v,gamma,gamma_s,speed sound,velocity,mach,area ratio,I_sp,I_vac,c*,C_f,dlnV_dlnT_P,dlnV_dlnP_T,of ratio,pressure,temperature,density,specific volume,enthalpy,internal energy,gibbs,entropy,molar mass,c_p,c_v,gamma,gamma_s,speed sound,velocity,mach,area ratio,I_sp,I_vac,c*,C_f,dlnV_dlnP_T,dlnV_dlnT_P
6,throat,4.0,1415042.1614220687,3293.790264940287,1.1840444649467383,0.8445628771593328,-1858176.554602888,-3053268.6337552713,-41693121.20407319,12093.952998003795,22.91546945010849,8583.812167630118,7744.072705147058,1.1084364125255348,0.704972992228022,917.8821487686008,917.8821487686008,1.0,,,,,,1.9076061793285268,-1.5723104640113836,4.0,11.62,3243.7,0.9925,1.0075566750629723,-2091500.0,0,0,0,23.036,8560.4,7321.325077323991,1.169241894,1.1181,1144.1,1007.0,1.0,1.0,116.62589194699285,220.93781855249745,0.0,0.64961,-1.04574,1.8948
6,exit,4.0,101325.00000000064,2692.2991564270974,0.11054039842987304,9.046466397842787,-4619225.373359977,-5535858.581121403,-37179764.82782102,12093.952998028477,24.42091395277575,7826.095703225075,7200.8100558072265,1.0868354591458187,0.6948742273172019,798.088210648741,2522.8187526605197,3.161077583904916,3.897156617882659,257.2559184492686,294.3059737623014,,1.4288973453843121,1.6948524356682113,-1.5640750749123569,4.0,1.0132,2693.3,0.11051,9.04895484571532,-4620200.0,0,0,0,24.424,7813.1,6864.594655749948,1.1381735400000002,1.106,1007.0,2523.1391999999996,2.5056,4.0722,257.2069317023445,294.2507645259939,0.0,1.4326,-1.02909,1.6935
7,chamber,1.0,2499999.999999997,1193.711350647819,3.3139082104662885,0.30175850883307764,-2983866.7110763136,-3738262.983159007,-20513901.10561158,14685.321024234074,13.15630626650097,13553.933335275291,11531.926988595422,1.1753398498515943,0.6588748208206112,705.0196512128024,0.0,0.0,,,,1349.3274001413479,,2.389029030437855,-1.7838591075429768,1.0,25.0,1196.7,3.3003,0.30300275732509163,-2984000.0,0,0,0,12.973,14321.0,11064.383938316323,1.294333248,1.1588,936.9,0.0,0.0,,0.0,0.0,1361.5,0.0,-1.11696,2.3972
7,throat,1.0,1813968.7622039202,1152.6824411308944,2.5203105301487354,0.39677650354497596,-3220225.5549009037,-3939965.737907983,-20147737.24190798,14685.321024235891,13.315826035087687,14453.105592612987,12319.128799110058,1.1732246515400577,0.6567970816837679,687.5487268329357,687.5487268329357,1.0,,,,,,2.470795448083508,-1.786281766862261,1.0,14.371,1130.9,2.0423,0.4896440287910689,-3388100.0,0,0,0,12.887,15859.0,12332.79716344079,1.285920768,1.1488,899.09,760.64,1.0,1.0,91.65035677879715,171.4271151885831,0.0,0.66037,-1.11936,2.5186
7,exit,1.0,101325.00001095865,886.1274248892739,0.20313978590574258,4.922718587800436,-4945534.673796678,-5444329.134759503,-17958600.376773294,14685.321024346655,14.770960637655044,20933.77902897431,18187.290120484544,1.1510114420727453,0.6456855454462604,567.507157304959,1980.7412565604648,3.4902489441134605,4.30660259980984,201.979397302898,227.65810708125633,,1.467947109317556,2.9492085953268132,-1.782619186987116,1.0,1.0133,894.11,0.19682,5.08078447312265,-4984000.0,0,0,0,12.518,18466.0,14845.393212726101,1.2438875639999998,1.1239,760.64,2000.0268159999998,2.6294,4.6646,203.8735983690112,230.11213047910294,0.0,1.469,-1.10676,2.638
8,chamber,1.5,2499999.9999999893,1668.6472903768363,2.409694001444347,0.4149904508209797,-2468217.187168265,-3505693.3142207097,-27370474.02976124,14923.61926106578,13.372746762027008,2828.5547352582566,2514.640667420221,1.1248345626097271,0.5626881954253086,764.052072654723,0.0,0.0,,,,1607.8002254427145,,1.004636681500922,-1.9990370719604658,1.5,25.0,1668.5,2.4098,0.41497219686281017,-2468300.0,0,0,0,13.372,2829.2000000000003,2201.828589537012,1.284931994,1.2842,1154.2,0.0,0.0,,0.0,0.0,1532.5,0.0,-1.00057,1.0048
8,throat,1.5,1902395.931749991,1570.8156182829318,1.9482195073345774,0.5132891833980928,-2743221.4512754343,-3719700.7055832413,-26185475.667845976,14923.61926105332,13.37507958372638,2830.5706362753235,2514.601262409012,1.1256538675096384,0.5632652093258924,741.6311695041397,741.6311695041397,1.0,,,,,,1.0078584930224672,-1.9984438038642658,1.5,13.712,1461.1,1.5102,0.6621639517944643,-3051700.0,0,0,0,13.381,2873.6000000000004,2232.13968935866,1.287374627,1.2851,1080.2,811.31,1.0,1.0,110.11213047910296,195.7900101936799,0.0,0.70482,-1.00177,1.0169
8,exit,1.5,101325.00000018858,967.4058576712384,0.17787207733789598,5.622017884798988,-4900694.294509156,-5470345.2566874735,-19337890.98520983,14923.619260952406,14.119979380763592,11890.570451253716,10602.976321188375,1.1214370466424872,0.5958800081310154,582.6179022092066,2205.664121003418,3.7857815776683905,3.6828048459071385,224.91514645708966,251.25108384389208,,1.3718521033271278,2.028604921359654,-1.8819846803719553,1.5,1.0133,968.0,0.17781,5.623980653506552,-4901100.0,0,0,0,14.124,11906.0,9635.092308129473,1.235691327,1.1551,811.31,2205.7896279999995,2.7188,4.1592,224.8521916411825,251.18246687054025,0.0,1.4393,-1.06977,2.0314
9,chamber,2.0,2500000.000000003,2543.1598205547766,1.892592623324217,0.528375725275503,-2124450.840237364,-3445390.1534261233,-38659290.63315628,14365.923642560945,16.007553904159128,2982.9471735583447,2710.3430627124512,1.1005791903601596,0.5498656205856588,852.2553110438977,0.0,0.0,,,,1828.7269025068144,,1.024929419468451,-2.0015421025739686,2.0,25.0,2543.1,1.8926,0.5283736658564937,-2124500.0,0,0,0,16.007,2981.0,2436.1650192642137,1.22364453,1.2223,1270.7,0.0,0.0,,0.0,0.0,1757.1,0.0,-1.0011,1.0248
9,throat,2.0,1910810.6168496406,2422.472051534148,1.519784212749738,0.6579881483244947,-2470876.9268288817,-3728167.666408562,-37271925.446741246,14365.923643111966,16.019805667808466,2880.3131046273697,2612.052793932511,1.1027009527977365,0.5510476942668077,832.3623988794737,832.3623988794737,1.0,,,,,,1.0170071845745723,-2.00109893257956,2.0,13.941,2284.5,1.1765,0.8499787505312366,-2855800.0,0,0,0,16.029,2783.1,2253.8536731205804,1.234818406,1.2343,1209.4,938.79,1.0,1.0,123.28236493374108,223.16004077471965,0.0,0.68831,-1.00042,1.0103
9,exit,2.0,101325.00000002567,1355.2006786687043,0.1442666424223527,6.931609297958262,-5282166.467759237,-5984511.779875035,-24750875.937771462,14365.923642495161,16.043056297966825,2551.9060684155534,2292.7194837216134,1.1130476652439052,0.5565284892051214,625.2001083270101,2513.0521791327265,4.019596519036875,3.4892087391628044,256.26000511211544,284.7589319477893,,1.37420856864294,1.0001056980379686,-1.999983265607209,2.0,1.0133,1355.1,0.14427,6.931447979482914,-5282100.0,0,0,0,16.043,2552.0,2033.6078414656126,1.254912549,1.2549,938.79,2513.046951,2.6769,3.9244,256.1671763506626,284.6585117227319,0.0,1.4302,-1.00001,1.0001
10,chamber,2.5,2499999.9999999944,3103.1186355076447,1.7794677233733354,0.5619657984603963,-1878903.4479423591,-3283817.9440933466,-44288094.44478111,13666.635400776728,18.364650635543136,4322.267292206239,3997.8033261133182,1.0811605623452134,0.541566727337077,872.269995969659,0.0,0.0,,,,1898.3427170299115,,1.1961250608470237,-1.9963570651050861,2.5,25.0,3103.8,1.7791,0.5620819515485358,-1878900.0,0,0,0,18.366,4313.3,3672.9360695626447,1.1743466040000001,1.1628,1278.2,0.0,0.0,,0.0,0.0,1846.1,0.0,-1.00993,1.1952
